fecha_de_autorizacion,tipo_de_solicitud,solicitante_importador,ium,principio_activo1,concentracion_delmedicamento1,unidad_medida1,principio_activo2,concentracion_del_medicamento2,unidad_medida2,forma_farmaceutica,nombre_comercial,cantidad_solicitada,presentacion_comercial,diagnostico_descripcion,codigo_diagnostico_cie10,anio_autorizacion,mes_autorizacion,nivel_urgencia,duplicado_flag,error_reason
2026-06-12 05:00:00,PACIENTE ESPECIFICO,VALENTECH PHARMA COLOMBIA SAS,2E1063651000102,ELEXACAFTOR / TEZACAFTOR / IVACAFTOR,100/50/150,MG,NO APLICA,NO APLICA,NO APLICA,TABLETA,TRIKAFTA,6.0,"CAJAS X 28 DOSIS CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 50MG/ TEZACAFTOR 25MG / IVACAFTOR 37,5MG (56 TABLETAS) & DE IVACAFTOR 75MG (28 TABLETAS)","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION",E849,2026,6,BAJA,False,fecha_de_autorizacion_fecha_futura
2025-09-09 05:00:00,MAS DE UN PACIENTE,ALERTENS COLOMBIA S.A.S,VARIOS IUM,EXTRACTOS ALERGENICOS,VARIAS,VARIAS,NO APLICA,NO APLICA,NO APLICA,CREMA,VARIOS,,JERINGA X 5 ML,,,2025,9,MEDIA,False,cantidad_solicitada_not_nullable
2025-05-09 05:00:00,MAS DE UN PACIENTE,SUMIVITALES S.A.S,VARIOS IUM,EXTRACTOS ALERGENICOS,VARIAS,VARIAS,NO APLICA,NO APLICA,NO APLICA,CREMA,VARIOS,,JERINGA X 5 ML,ALERGIA NO ESPECIFICADA,T784,2025,5,MEDIA,False,cantidad_solicitada_not_nullable
2025-01-31 05:00:00,MAS DE UN PACIENTE,INMUNOTEK COLOMBIA S.A.S.,VARIOS IUM,EXTRACTOS ALERGENICOS,VARIAS,VARIAS,NO APLICA,NO APLICA,NO APLICA,SOLUCION,PRICK TEST,,,ALERGIA NO ESPECIFICADA,T784,2025,1,MEDIA,False,cantidad_solicitada_not_nullable
2025-01-27 05:00:00,MAS DE UN PACIENTE,INMUNOTEK COLOMBIA S.A.S.,VARIOS IUM,EXTRACTOS ALERGENICOS,VARIAS,VARIAS,NO APLICA,NO APLICA,NO APLICA,SOLUCION,PRICK TEST,,,ALERGIA NO ESPECIFICADA,T784,2025,1,MEDIA,False,cantidad_solicitada_not_nullable
2024-07-09 05:00:00,MAS DE UN PACIENTE,INMUNOTEK COLOMBIA S.A.S.,VARIOS,EXTRACTOS ALERGENICOS,10000,UT/ML,NO APLICA,NO APLICA,NO APLICA,SUSPENSION INYECTABLE,ALXOID,,VARIOS,ALERGIA NO ESPECIFICADA,T784,2024,7,MEDIA,False,cantidad_solicitada_not_nullable
2024-06-04 05:00:00,MAS DE UN PACIENTE,INMUNOTEK COLOMBIA S.A.S.,1A1009311000101,ALERGENO ALTERNARIA ALTERNATA,30000,UT/ML,NO APLICA,NO APLICA,NO APLICA,SOLUCION ORAL,ORALTEK,,ESTUCHE X 1 FRASCO X 6 ML,ALERGIA NO ESPECIFICADA,T784,2024,6,MEDIA,True,cantidad_solicitada_not_nullable
2024-06-04 05:00:00,MAS DE UN PACIENTE,INMUNOTEK COLOMBIA S.A.S.,1A1009311000101,ALERGENO ALTERNARIA ALTERNATA,30000,UT/ML,NO APLICA,NO APLICA,NO APLICA,SOLUCION ORAL,ORALTEK,,ESTUCHE X 1 FRASCO X 6 ML,ALERGIA NO ESPECIFICADA,T784,2024,6,MEDIA,True,cantidad_solicitada_not_nullable
2024-06-04 05:00:00,MAS DE UN PACIENTE,INMUNOTEK COLOMBIA S.A.S.,VARIOS IUM,EXTRACTOS ALERGENICOS,VARIAS,VARIAS,NO APLICA,NO APLICA,NO APLICA,SOLUCION,PRICK TEST,,,ALERGIA NO ESPECIFICADA,T784,2024,6,MEDIA,False,cantidad_solicitada_not_nullable
2024-06-04 05:00:00,MAS DE UN PACIENTE,INMUNOTEK COLOMBIA S.A.S.,1A1004211000101,HORMIGA ROJA,30000,UT/ML,NO APLICA,NO APLICA,NO APLICA,SOLUCION SUBLINGUAL,ORALTEK,,ESTUCHES X UN (1) VIAL DE 6ML,ALERGIA NO ESPECIFICADA,T784,2024,6,MEDIA,False,cantidad_solicitada_not_nullable
